...1,GEOID_20,tract_number_20,reporter_URL,STATEFP,COUNTYFP,TRACTCE,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
0,10001040100,40100,https://censusreporter.org/profiles/14000US10001040100,10,001,040100,401,Census Tract 401,G5020,S,124745857,0,+39.2372835,-075.6947414
1,10001040201,40201,https://censusreporter.org/profiles/14000US10001040201,10,001,040201,402.01,Census Tract 402.01,G5020,S,9732880,37251,+39.2908408,-075.6375081
2,10001040203,40203,https://censusreporter.org/profiles/14000US10001040203,10,001,040203,402.03,Census Tract 402.03,G5020,S,59871731,1058666,+39.2858685,-075.5508360
3,10001040204,40204,https://censusreporter.org/profiles/14000US10001040204,10,001,040204,402.04,Census Tract 402.04,G5020,S,6926052,194346,+39.2844730,-075.6213257
4,10001040205,40205,https://censusreporter.org/profiles/14000US10001040205,10,001,040205,402.05,Census Tract 402.05,G5020,S,3338843,0,+39.2762771,-075.6005068
5,10001040206,40206,https://censusreporter.org/profiles/14000US10001040206,10,001,040206,402.06,Census Tract 402.06,G5020,S,21663044,506259,+39.2496199,-075.6128720
6,10001040501,40501,https://censusreporter.org/profiles/14000US10001040501,10,001,040501,405.01,Census Tract 405.01,G5020,S,10394067,0,+39.1995839,-075.5439014
7,10001040502,40502,https://censusreporter.org/profiles/14000US10001040502,10,001,040502,405.02,Census Tract 405.02,G5020,S,31727022,273847,+39.2210790,-075.5325177
8,10001040700,40700,https://censusreporter.org/profiles/14000US10001040700,10,001,040700,407,Census Tract 407,G5020,S,6101558,0,+39.1745533,-075.5639418
9,10001040900,40900,https://censusreporter.org/profiles/14000US10001040900,10,001,040900,409,Census Tract 409,G5020,S,1404247,247831,+39.1686684,-075.5256038
10,10001041000,41000,https://censusreporter.org/profiles/14000US10001041000,10,001,041000,410,Census Tract 410,G5020,S,26757216,21809,+39.1588788,-075.4716822
11,10001041101,41101,https://censusreporter.org/profiles/14000US10001041101,10,001,041101,411.01,Census Tract 411.01,G5020,S,2439232,196345,+39.1177435,-075.4849264
12,10001041200,41200,https://censusreporter.org/profiles/14000US10001041200,10,001,041200,412,Census Tract 412,G5020,S,7040083,813440,+39.1270085,-075.5017998
13,10001041300,41300,https://censusreporter.org/profiles/14000US10001041300,10,001,041300,413,Census Tract 413,G5020,S,2298941,0,+39.1531517,-075.5202200
14,10001041400,41400,https://censusreporter.org/profiles/14000US10001041400,10,001,041400,414,Census Tract 414,G5020,S,6760776,0,+39.1473957,-075.5435763
15,10001041500,41500,https://censusreporter.org/profiles/14000US10001041500,10,001,041500,415,Census Tract 415,G5020,S,3278419,0,+39.1324585,-075.5376546
16,10001041600,41600,https://censusreporter.org/profiles/14000US10001041600,10,001,041600,416,Census Tract 416,G5020,S,2773164,115233,+39.1249263,-075.5258890
17,10001041701,41701,https://censusreporter.org/profiles/14000US10001041701,10,001,041701,417.01,Census Tract 417.01,G5020,S,10494146,12280,+39.1056554,-075.5557419
18,10001041702,41702,https://censusreporter.org/profiles/14000US10001041702,10,001,041702,417.02,Census Tract 417.02,G5020,S,6013566,0,+39.1075391,-075.5230449
19,10001041802,41802,https://censusreporter.org/profiles/14000US10001041802,10,001,041802,418.02,Census Tract 418.02,G5020,S,34553472,171412,+39.1375473,-075.6031845
20,10001041803,41803,https://censusreporter.org/profiles/14000US10001041803,10,001,041803,418.03,Census Tract 418.03,G5020,S,17600653,0,+39.2093482,-075.5950637
21,10001041804,41804,https://censusreporter.org/profiles/14000US10001041804,10,001,041804,418.04,Census Tract 418.04,G5020,S,24720696,30818,+39.1743320,-075.6158960
22,10001041900,41900,https://censusreporter.org/profiles/14000US10001041900,10,001,041900,419,Census Tract 419,G5020,S,83120851,21319,+39.1439677,-075.7049433
23,10001042000,42000,https://censusreporter.org/profiles/14000US10001042000,10,001,042000,420,Census Tract 420,G5020,S,89591320,162415,+39.0589460,-075.6798594
24,10001042100,42100,https://censusreporter.org/profiles/14000US10001042100,10,001,042100,421,Census Tract 421,G5020,S,53129656,87340,+39.0693287,-075.6033694
25,10001042203,42203,https://censusreporter.org/profiles/14000US10001042203,10,001,042203,422.03,Census Tract 422.03,G5020,S,12375673,158242,+39.0935078,-075.4962461
