GEOID_20,tract_number_20,INTPTLAT,INTPTLON,Area Name,Secondary Review 
10003000200,200,39.7645553,-75.5281678,Brandywine Hills,
10003000300,300,39.760877,-75.5391652,Harlan Park,
10003000400,400,39.7592744,-75.5480382,Triangle Neighborhood,
10003000500,500,39.7544822,-75.5399945,Brandywine Village,
10003000601,601,39.7527181,-75.5289799,Eastlawn/Vandever,
10003000602,602,39.7500708,-75.5369211,Northeast Community,
10003000900,900,39.7454293,-75.5406989,Upper East Side,
10003001100,1100,39.7560465,-75.5577931,Delaware Avenue Community,
10003001200,1200,39.758703,-75.5631867,Forty Acres,
10003001300,1300,39.7632267,-75.5691808,Highlands Community,
10003001400,1400,39.7514863,-75.5661112,Little Italy,
10003001500,1500,39.7496518,-75.5592746,Cool Spring/Tilton Park,Cool Spring
10003001600,1600,39.7468948,-75.5550189,Trinity Vicinity,
10003001902,1902,39.7198139,-75.5313619,Southbridge/Christina Landing,Christina Landing
10003002100,2100,39.7424301,-75.5573305,West Center City/Quaker Hill Place,Quaker Hill Place
10003002200,2200,39.7447495,-75.5633691,Westside,
10003002300,2300,39.7473304,-75.5697155,Little Italy/Westside,
10003002400,2400,39.750169,-75.5798121,Southwest/Wawaset,
10003002500,2500,39.7414466,-75.5747872,Bayard Square/Union Park Gardens/Candy Park,
10003002600,2600,39.7397583,-75.5666901,Hedgeville,
10003002700,2700,39.7339332,-75.5640184,Browntown,
10003002800,2800,39.7458579,-75.5498878,Midtown Brandywine/Trinity Vicinity,Midtown Brandywine
10003002900,2900,39.7356508,-75.5321041,Compton,
10003003002,3002,39.7463011,-75.5264918,Riverside,11th Street Bridge/Northeast would be better?
10003010104,10104,39.7961063,-75.4534792,Addicks Estates,
10003010105,10105,39.8127939,-75.4522485,Knollwood,
10003010106,10106,39.8190019,-75.4568151,Carpenter,
10003010200,10200,39.8087626,-75.4682454,Ashbourne Hills/Radnor Green,
10003010300,10300,39.8024361,-75.4675546,Claymont Addition,
10003010400,10400,39.7932234,-75.4802454,Brandywine Estates/Gwinhurst,
10003010502,10502,39.7691499,-75.4872896,Bellefonte/Bellevue,
10003010703,10703,39.7606648,-75.5042141,Bellevue South ,
10003010704,10704,39.7519097,-75.5128588,Paladin,
10003010800,10800,39.7777142,-75.5264969,Weldin Park,
10003010900,10900,39.7879774,-75.5126352,Shellburne/Welshire,
10003011000,11000,39.7845459,-75.497811,Holy Oak Terrace/Carrcroft,Bellevue
10003011100,11100,39.8054321,-75.4905425,Ardencroft/Ardentown,
10003011201,11201,39.8183642,-75.541341,Devonshire,
10003011202,11202,39.8321729,-75.5211693,Barkley,
10003011203,11203,39.8256557,-75.4826061,Afton,
10003011204,11204,39.8176087,-75.4863303,Lancashire/Darley Woods/Indian Field,Darley Woods
10003011205,11205,39.8232716,-75.5138647,Hampton/Naarmans Gardens/Brandywood,Brandywood
10003011206,11206,39.8174758,-75.5249854,Woodbine/Foulk Woods/Kershaw Acres,Woodbine
10003011300,11300,39.8100723,-75.5052585,Holiday Hills,
10003011400,11400,39.8018687,-75.5217498,Perth/Windsor Hills,
10003011500,11500,39.8019148,-75.54147,Concord Manor/Blue Rock Manor/Wilmont,Blue Rock Manor
10003011600,11600,39.7895286,-75.5385763,Fairfax/Oak Lane Manor/Deerhurst,Fairfax
10003011700,11700,39.8018404,-75.5592019,Tavistock/Sharpley/Fairfax Farms,Lebanon
10003011800,11800,39.8077052,-75.6101476,Delware Heights/Walnut Ridge/Winterhur/Montchann,Chandler Woods
10003011900,11900,39.7735117,-75.6115645,Sedgley Farms/West Haven,
10003012000,12000,39.7398744,-75.6279738,Brookmeade/Faulkland/Albertson Park,Greenbank
10003012100,12100,39.7516574,-75.6172057,Anglesey/Woodland Park,Elsemere/Forest Park/Wood Wards Addition
10003012200,12200,39.7479746,-75.6012007,Chestnut Run,Chestnut Run/Silver Brook/Lancaster Court
10003012300,12300,39.742145,-75.5934532,Vilone Park,Vilone Park/Lancaster Park 
10003012400,12400,39.7353955,-75.602708,Elsmere,Elsmere/Wood Ward Addition/Forest Park
10003012500,12500,39.7305632,-75.5898108,Richardson park,Richardson park/Cleland Heights/Keystone
10003012600,12600,39.7243778,-75.6075887,Conrad,Woodcrest/Lyndalia
10003012700,12700,39.7099287,-75.6274565,Newport,Silview/Newport
10003012900,12900,39.7228743,-75.581735,Ashley Hieghts,Ashley Hieghts
10003013000,13000,39.7191649,-75.6426796,Westfield,Westfield/Rolling Hills
10003013100,13100,39.7262788,-75.6452812,Marshallton,Marshallton/Washington Heights
10003013200,13200,39.7352208,-75.6451459,Western railroad,Duncan Woods/Dunliden Acres
10003013300,13300,39.7276111,-75.6605162,Milltown,Milltown/Limestone
